Name,Lat,Long,Diet,Cuisine 
The Pierogi,40.4426,-79.9564,*Vegeterian,American
The Eatery,40.4427498,-79.95638979,"*Vegeterian, *Vegan",Other
The Perch,40.44580556,-79.96248769,"*Vegeterian, *Vegan",Other
Forbes Street Market,40.44311662,-79.95500119,*Vegeterian,Other
The Market at Towers,40.4426,79.9564,"*Vegeterian, *Vegan",Other
Chick-fil-a,40.4440463,-79.96226736,,American
Shake Smart,40.44368347,-79.96225631,Vegeterian,Shakes
Campus Coffee & Tea Co - Sutherland,40.44576009,79.96250408,Vegeterian,Coffee
The Market at Sutherland ,40.44585353,-79.9626037,"*Vegeterian, *Vegan",Other
Wicked Pie,40.44382911,-79.95449444,*Vegeterian,American
Paper Lantern,40.44382911,-79.95449444,*Vegeterian,Thai
The Kosher Plate,40.4426,79.9564,Kosher,Kosher
Milk & Cookies,40.4426,79.9564,Vegeterian,Dessert
Campus Coffee & Tea Co - Towers,40.4426,79.9564,Vegeterian,Coffee
PA Taco Co.,40.44382911,-79.95449444,*Vegeterian,Mexican
Ft. Pitt Subs,40.44382911,-79.95449444,*Vegeterian,American
CrEATe,40.44382911,-79.95449444,"Vegeterian, Vegan",American
True Burger,40.44382911,-79.95449444,*Vegeterian,"American, Hamburger"
Pom & Honey,40.44443596,-79.95281714,*Vegeterian,Mediterranean
The Roost,40.44443596,-79.95281714,,American
Catherdral Sushi,40.44443596,-79.95281714,,Japanese
Burrito Bowl,40.4440704,-79.96184915,*Vegeterian,"American, Mexican"
Steel City Subs,40.4440463,-79.96226736,*Vegeterian,American
Einstein Bros. Bagels - Posvar,40.44141868,-79.95450352,*Vegeterian,American
Einstein Bros. Bagels - Benedum,40.4441782,-79.9582627,*Vegeterian,American
